word	freq
amnesty	11
among	229
amongst	45
amount	198
amounts	198
amounted	27
amounting	27
amusement	11
amusements	11
an	3430
analogies	11
analogy	11
analyse	42
analysed	42
analyses	185
analysing	42
analysis	143
analyst	19
analysts	19
anc	10
ancestor	13
ancestors	13
ancient	50
and	26817
and/or	19
and so on	49
anderson	15
andrew	45
andy	28
angel	22
angels	22
angela	11
angeles	11
anger	34
angers	34
angle	37
angles	37
angrily	11
angrier	43
angry	43
animal	153
animals	153
ankle	15
ankles	15
ann	20
anns	20
anna	28
anne	44
annie	11
anniversaries	21
anniversary	21
announce	127
announced	127
announces	127
announcing	127
announcement	28
announcements	28
annual	81
annually	11
anonymous	12
another	581
answer	227
answers	227
answered	103
answering	103
ant	10
ants	10
anthony	24
antibodies	16
antibody	16
anticipate	24
anticipated	24
anticipates	24
anticipating	24
anxieties	32
anxiety	32
anxious	31
any	1240
anybody	50
anyone	150
anything	288
anyway	122
anywhere	41
apart	35
apart from	65
apartment	19
apartments	19
apologise	11
apologised	11
apologises	11
apologising	11
apologies	12
apology	12
appalling	11
apparatus	11
apparent	53
apparently	78
appeal	146
appeals	146
appealed	40
appealing	40
appear	307
appeared	307
appearing	307
appears	307
appearance	66
appearances	66
appendices	19
appendix	19
appetite	11
appetites	11
apple	35
apples	35
applicable	14
applicant	24
applicants	24
application	163
applications	163
applied	193
applies	193
apply	193
applying	193
appoint	76
appointed	76
appointing	76
appoints	76
appointment	60
appointments	60
appraisal	12
appraisals	12
appreciate	45
appreciated	45
appreciates	45
appreciating	45
appreciation	13
approach	241
approaches	241
approached	70
approaching	70
appropriate	113
approval	40
approvals	40
approve	53
approved	53
approves	53
approving	53
approximately	28
april	147
arab	22
arbitrary	11
arch	13
arches	13
archbishop	17
archbishops	17
architect	27
architects	27
architectural	12
architecture	30
architectures	30
archive	13
archives	13
area	585
areas	585
argue	149
argued	149
argues	149
arguing	149
argument	122
arguments	122
arise	96
arisen	96
arises	96
arising	96
arose	96
arm	214
arms	214
armed	49
arming	12
armies	124
army	124
arnold	10
around	452
arouse	14
aroused	14
arouses	14
arousing	14
arrange	72
arranged	72
arranges	72
arranging	72
arrangement	91
arrangements	91
array	13
arrays	13
arrest	64
arrests	64
arrested	42
arresting	42
arrival	38
arrivals	38
arrive	142
arrived	142
arrives	142
arriving	142
arrow	16
arrows	16
arsenal	12
art	206
arts	206
arthur	29
arthurs	29
article	97
articles	97
artificial	20
artist	81
artists	81
artistic	16
as	5347
as for	25
as if	157
as it were	10
as long as	29
as opposed to	17
as soon as	45
as though	54
as to	73
as usual	13
as well	113
as well as	176
as yet	14
ash	13
ashes	13
ashamed	11
ashley	11
ashleys	11
asia	30
asian	19
aside	36
ask	610
asked	610
asking	610
asks	610
asleep	25
aspect	116
aspects	116
aspiration	13
aspirations	13
assault	26
assaults	26
assemble	17
assembled	17
assembles	17
assembling	17
assemblies	59
assembly	59
assert	21
asserted	21
asserting	21
asserts	21
assertion	11
assertions	11
assess	64
assessed	64
assesses	64
assessing	64
assessment	78
assessments	78
asset	64
assets	64
assign	18
assigned	18
assigning	18
assigns	18
assignment	18
assignments	18
assist	41
assisted	41
assisting	41
assists	41
assistance	43
assistant	45
assistants	27
associate	93
associates	93
associated	100
associating	81
association	135
associations	135
assume	112
assumed	112
assumes	112
assuming	112
assumption	56
assumptions	56
assurance	24
assurances	24
assure	31
assured	31
assures	31
assuring	31
asylum	10
asylums	10
at	4790
at all	148
at first	41
at last	44
at least	257
at once	36
at present	29
athens	11
atlantic	22
atmosphere	49
atmospheres	49
atom	16
atoms	16
atomic	11
attach	49
attached	49
attaches	49
attaching	49
attack	168
attacks	168
attacked	59
attacking	59
attain	12
attained	12
attaining	12
attains	12
attempt	217
attempts	217
attempted	82
attempting	82
attend	91
attended	91
attending	91
attends	91
attendance	20
attendances	20
attention	140
attentions	140
attitude	108
attitudes	108
attract	64
attracted	64
attracting	64
attracts	64
attraction	24
attractions	24
attractive	52
attribute	36
attributes	36
attributed	23
attributing	23
